Alemão,Português
geplant,planejado
amanda,Amanda
erreicht,alcançado
stören,perturbar
stein,pedra
atmen,respirar
hose,calça
weiße,branco
sprichst,falar
größer,maior
schickt,envia
city,Cidade
prinz,Principe
behandelt,tratado
tote,morto
überlegen,considerar
karten,cartões
it,ISTO
d,D
restaurant,restaurante
welchem,qual
roger,Roger
natur,natureza
carter,Carter
emily,Emily
mami,Mamãe
verschwindet,desaparece
lautet,é o caso
streit,disputa
küssen,beijo
sprich,Falando
längst,a muito tempo atrás
fängt,capturas
drüber,acima dele
gingen,foi
erlaubt,permitido
einzigen,solteiro
bad,banho
schmeckt,gostos
kugel,bala
normalerweise,normalmente
schwarzen,preto
rauf,acima
flug,voo
beruhigen,calma
walter,Walter
halbe,metade
dan,Dan
geschieht,acontece
einiges,alguns
entdeckt,descoberto
morgens,Pela manhã
schlechter,pior
vollkommen,completamente
gelogen,mentiu
verfolgt,monitorados
college,faculdade
weiteren,avançar
chris,Chris
louis,Louis
eh,Eh
schwert,espada
hunde,cães
steigen,escalar
verdammter,droga
dürfte,deve
riecht,cheira
labor,laboratório
bat,bastão
tim,Tim
arthur,Arthur
mindestens,pelo menos
fisch,peixe
eurem,do seu
füße,pés
stehst,ficar
erschießen,atirar
kuchen,bolo
versuchte,testado
zustand,doença
wunsch,desejar
gäste,Convidados
erwähnt,mencionado
farbe,cor
van,furgão
einigen,concordar
zufall,coincidência
garten,jardim
junger,mais jovem
autos,carros
abgesehen,além
fair,justo
vertraut,confiável
koffer,mala
hieß,foi chamado
kurs,curso
wirkt,atos
idioten,idiota
netter,Agradável
seitdem,desde
angegriffen,atacado
geschichten,histórias
wahnsinnig,insano
ähnlich,semelhante
lily,lírio
aufgeben,desistir
england,Inglaterra
entführt,seqüestrado
ms.,EM.
mistkerl,tumultos
solchen,tal
ner,ner
geschossen,tomada
lager,acampamento
besprechen,discutir
reihe,linha
polizisten,policiais
vogel,pássaro
legt,lugares
strand,praia
amerikaner,americano
schwarz,preto
fern,controlo remoto
fick,Porra
scherz,farsa
san,San
erzählte,contado
wichser,Wanker
jake,Jake
langweilig,tedioso
womit,pelo qual
geschäfte,negócios
my,meu
kapiert,Entendi
nachher,depois
verlangt,obrigatório
schlägt,batidas
überzeugt,convencido
irgendjemand,Alguém
rot,vermelho
soldat,soldado
vorbereitet,preparado
geschah,ocorrido
reisen,viagem
termin,reunião
gang,corredor
stehlen,roubar
rechte,certo
rache,vingança
bemerkt,percebido
frankreich,França
stört,Discoverbs
radio,rádio
beruhige,acalmar
pferde,cavalos
vertrag,contrato
arbeitest,trabalhador
dienst,serviço
zählt,contagens
fragst,Perguntando
wesen,seres
bürgermeister,prefeito
emma,Emma
fluss,fluxo
woran,o que
geblieben,permaneceu
durcheinander,misturado
me,meu
ted,Ted
nette,legal
test,teste
mister,senhor
dadurch,através disso
direktor,diretor
wichtiger,mais importante
kevin,Kevin
scott,Scott
karriere,Carreira
akte,arquivo
erinnerung,memória
großmutter,avó
erzähle,dizer
lösen,resolver
bravo,Bravo
griff,lidar
verfolgen,perseguir
zweifel,dúvida
such,procurar
sprache,linguagem
nerven,irritar
officer,Policial
andy,Andy
langer,mais longo
ziehe,puxar
entlassen,fogo
zweimal,duas vezes
abholen,escolher
washington,Washington
kollegen,colegas
doc,Doc
fass,barril
szene,cena
robin,Robin
scheinen,parecer
bösen,nutrir
schaffe,criativo
pflicht,obrigação
wache,guarda
neulich,recentemente
beeilen,pressa
knie,joelho
alice,Alice
lauter,aumentar o volume
spannende,excitante
unschuldig,inocente
folgt,segue
schutz,proteção
weshalb,por que razão
geheiratet,casou-se
woanders,Em outro lugar
wurdest,foi estabelecido
kuss,beijo
verhindern,impedir
erklärung,explicação
video,Vídeo
rom,Roma
klug,inteligente
kräfte,forças
verlangen,demanda
außerhalb,fora de
opa,Vovô
selbstverständlich,claro
aufstehen,ficar de pé
hassen,odiar
pete,bicho de estimação
gebrauchen,usar
geglaubt,acreditava
milch,leite
trink,bebida
erinnerungen,recordações
müssten,Teria que
suchst,procurar
fährst,balsa
kochen,cozinhar
schwach,fraco
schreibt,escreve
schulden,dívidas
hinein,em
simon,Simon
grenze,fronteira
braut,noiva
gebraucht,necessário
peinlich,estranho
klappt,funciona
geheimnisse,segredo
joey,Joey
aufmerksamkeit,atenção
form,forma
umsonst,de graça
kennenzulernen,conhecer
überlebt,sobreviveu
nirgendwo,em lugar nenhum
meilen,milhas
einfacher,mais fácil
blöde,estúpido
mond,lua
ergibt,resulta em
daten,dados
merken,perceber
schande,vergonha
fuck,Porra
fühlte,sentido
jenny,Jenny
sieg,vitória
satt,Cheio
blödsinn,Absurdo
adam,Adão
lisa,Lisa
pfund,Libra
handeln,agir
lois,empréstimo
enden,terminar
warm,esquentar
raten,conselho
übersetzung,tradução
kunst,arte
kapitän,capitão
desto,o mais
einsatz,missão
schweigen,fique em silencio
krankheit,doença
toller,ótimo
schatten,a sombra
wachen,acordar
tatsache,facto
eric,Eric
stock,chão
chief,chefe
hingehen,vá ali
verboten,proibido
gäbe,deu
anzug,terno masculino
leichen,cadáveres
high,alto
beendet,concluído
freitag,Sexta-feira
million,milhão
verflucht,amaldiçoado
dunkel,escuro
geb,nascer
enttäuscht,desapontado
klopfen,bater
spuren,senso
dreck,sujeira
seiten,Páginas
mühe,esforço
gezogen,retirado
brian,Brian
kontrollieren,verificar
knochen,osso
schick,chique
getrennt,separado
programm,programa
grab,escavação
ebenso,também
trage,lerdo
nachbarn,vizinhos
bieten,oferecer
bestes,melhor
elizabeth,Elizabeth
fuhr,dirigiu
verlässt,folhas
freundlich,amigável
dennoch,apesar disso
rauchen,fumar
dick,espesso
stuhl,cadeira
dreh,rotação
bester,melhor
schicke,chique
vergeben,perdoar
ausgehen,sair
behandeln,tratar
trotz,apesar de
gast,convidado
ändert,mudanças
passierte,passado
toilette,Banheiro
annehmen,presumir
herzlichen,cordial
hexe,bruxa
erwachsen,adulto
jerry,Jerry
pistole,pistola
saß,sentado
dreht,voltas
aussage,expressão
liebte,amado
street,rua
genießen,aproveitar
eifersüchtig,ciúmes
derjenige,único
teuer,caro
leo,Leo
zähne,dentes
beobachtet,observado
gentlemen,cavalheiros
wählen,escolher
helft,ajuda
fliegt,moscas
theater,teatro
regen,chuva
feinde,inimigos
william,William
erlauben,permitir
zulassen,permitir
schnappen,foto
komplett,completamente
panik,pânico
flughafen,aeroporto
bewusst,conscientemente
deutschen,Alemão
voraus,antecipadamente
sterbe,morrer
solltet,deve
begleiten,acompanhar
einander,uns aos outros
fred,Fred
erlebt,com experiência
weiterhin,além disso
stärker,mais forte
fahrer,motorista
konzentrieren,foco
streiten,lutar
angeht,assuntos
selben,o mesmo
star,estrela
überzeugen,convencer
alkohol,álcool
übersetzt,traduzido
verrückte,louco
lch,Lch
king,rei
begann,iniciado
angenommen,assumido
weitermachen,continue
echter,real
jackson,Jackson
post,publicar
mitgenommen,retirado
botschaft,mensagem
ideen,Ideias
fehlen,perder
aufgeregt,chateado
selbstmord,Suicídio
dumme,estúpido
zurückkommen,Voltar
irgendein,qualquer
magie,Magia
phil,Phil
schlage,AVC
handelt,agir
treffe,encontrar
untersuchen,investigar
flucht,escapar
verliert,perdendo
irgendeine,qualquer
gegenteil,oposto
betrifft,cumprimentos
scharf,afiado
gehofft,esperava
kennengelernt,conheceu
schlimmste,pior
projekt,Projeto
trottel,Enganar
immerhin,de qualquer forma
mehrere,diversos
erwarte,esperar
mochte,gostaria
schwimmen,nadar
zählen,contar
innerhalb,dentro de
matt,fosco
blind,cego
schwestern,irmãs
code,código
alan,Alan
schlau,esperto
absicht,intenção
barry,Barry
spielst,jogar
zuletzt,durar
oliver,Oliver
art.,Arte.
englisch,Inglês
ohr,orelha
verletzen,ferir
song,canção
schüler,alunos
schien,parecer
gewinnt,vence
älter,mais velho
merkwürdig,incomum
judy,Judy
vermisse,perder
größe,tamanho
tritt,chute
trauen,confiar
präsidenten,Presidente
trick,truque
harvey,Harvey
doug,no entanto
roten,avermelhar
überlegt,cuidadoso
größten,o maior
sonntag,Domingo
zwölf,doze
vorstellung,desempenho
schrieb,escreveu
reinkommen,Entrem
killer,assassino
unterstützung,apoiar
antun,fazer
rechnung,fatura
dieselbe,o mesmo
verändern,mudar
möglicherweise,possivelmente
definitiv,definitivo
locker,relaxado
ed,Ed
vincent,Vincent
ums,em volta
abends,à noite
frisch,fresco
kohle,dinheiro
fing,capturado
hure,prostituta
cousin,primo
familien,Família
einsam,sozinho
lebendig,vivaz
heiligen,sagrado
knapp,Meage
ebenfalls,também
überprüft,verificado
artikel,artigo
gesetzt,definir
jederzeit,a qualquer momento
kompliziert,complicado
spüren,senso
signal,sinal
amy,Amy
stich,Picada
kino,cinema
probieren,experimentar
tode,Mortes
wundervoll,maravilhoso
tanz,dança
geöffnet,abrir
kerle,cara
begraben,enterrar
prozent,por cento
stoppen,parar
hoheit,soberania
riesen,Gigantes
rote,Vermelho
zugang,acesso
liest,lê
vorn,frente
wichtige,importante
aufmachen,Abra
kelly,Kelly
sexy,sexy
erlaubnis,permissão
grace,graça
big,grande
story,história
madam,senhora
leichter,isqueiro
halben,metade
filme,filmes
priester,padre
herauszufinden,descobrir
packen,pacote
dritte,terceiro
inzwischen,enquanto isso
larry,Larry
presse,Imprensa
sitze,assentos
machten,feito
geklaut,Roubado
helden,herói
susan,Susan
geduld,paciência
bühne,estágio
reparieren,reparar
hä,huh
usa,EUA
gerechtigkeit,justiça
fälle,casos
selten,raramente
anrufe,Chamadas
unterschreiben,sinal
julia,Julia
drücken,imprensa
mrs,SRA
lügner,mentiroso
endet,termina
dave,Dave
medizin,medicamento
schreibe,escrever
verhaften,prender
prozess,processo
samstag,Sábado
amen,Amém
motor,motor
marie,Marie
abhauen,fugir
chaos,caos
schönheit,beleza
beinahe,aproximadamente
lebst,ao vivo
tolles,ótimo
anhalten,parar
fremden,estranho
hof,tribunal
akzeptieren,aceitar
norden,norte
ärzte,médicos
anziehen,colocar 
dingen,coisas; importa
umgehen,Evitar
bauch,barriga
gesamte,inteiro
hübsche,bonito
ertragen,urso
kiste,caixa
brennt,queimando
teile,peças
deckung,cobrir
landen,terra
berg,montanha
straßen,rua
aufgenommen,gravado
gerufen,chamado
untersuchung,investigação
alarm,alarme
blieb,permaneceu
vertraue,confiar
extra,extra
entspann,relaxado
beobachten,observar
eindruck,impressão
tschüs,tchau
babys,Bebês
wehtun,ferir
zog,retirado
iss,comer
herrgott,Deus
echten,real
springen,pular
nackt,nu
existiert,existia
befreien,"liberar, libertar"
gerät,dispositivo
montag,Segunda-feira
gezwungen,forçado
perfekte,perfeito
erzählst,dizendo
bastard,Desgraçado
interessieren,interesse
schlechten,ruim
hank,Hank
steigt,aumenta
st.,st.
on,sobre
carl,Carl
gekriegt,arranhado
fliehen,fugir
trug,vestiu
freundschaft,Amizade
rate,avaliar
papiere,papéis
abgeschlossen,concluído
schnauze,focinho
beruf,profissão
gebiet,área
jeff,Jeff
jedoch,no entanto
beten,rezar
verbunden,amarrado junto
sprachen,línguas
verräter,traidor
wichtigste,mais importante
prost,Baixo para cima
brust,seios
aufgehört,parou
kleider,vestidos
jacke,jaqueta
bestellt,ordenado
herkommen,venha aqui
wild,selvagem
nenne,chamar
angesehen,visto
zuhören,ouvir
trennen,separado
schlafzimmer,quarto
vorschlag,sugestão
meins,meu
gift,tóxico
ton,volume
vermissen,perder
angekommen,chegado
beantworten,responder
deutlich,claramente
träumen,sonhar
verwirrt,confuso
akten,arquivos
riskieren,correr risco
b,B
victor,Vencedor
find,encontrar
erkannt,reconhecido
beerdigung,enterro
müll,lixo
weisst,saber
möge,poderia
stellte,permaneceu
mitte,Centro
erleben,experiência
geburt,aniversário
decke,teto
chffff,Chffff
wege,caminhos
schritte,passos
gibts,existe
gemeldet,relatado
hilfst,ajuda
mittagessen,almoço
weint,chora
vernichten,destruir
rock,saia
chicago,Chicago
ellen,Ellen
crew,equipe
roy,Roy
türen,portas
gewehr,pistola
elena,Elena
arbeitete,trabalhado
spiegel,espelho
hauen,bater
geraten,dispositivos
dritten,terceiro
ross,Cavalo
julie,Julie
wetter,clima
schwul,gay
regel,regra
befindet,localizado
einheit,unidade
german,Alemão
armer,pobre
gucken,Olhe para
anstatt,em vez de
champagner,champanhe
gründe,razões
strafe,pena
smith,Smith
öfter,mais frequentemente
anne,Anne
zelle,célula
langen,longo
altes,antigo
ruiniert,arruinado
jonathan,Jonathan
kleidung,roupas
gras,grama
kenn,reconhecimento
agenten,agente
herausgefunden,descobriu
annie,Annie
rechten,certo
brot,pão
berlin,Berlim
erfreut,encantado
lügt,mentiras
nehm,pegar
harte,dureza
staaten,estados
station,estação
gaben,presentes
hinterher,depois
verpassen,perder
geholt,buscado
jesse,Jesse
hemd,camisa
trinke,bebida
klären,limpar
praktisch,prático
theorie,teoria
zunge,língua
notfall,emergência
besseren,melhorar
winter,inverno
c,C
versuchst,tentada
dahinter,atrás disso
schwere,gravidade
feuern,para disparar
lucy,Lucy
schießt,atirar
anführer,líder
schief,errado
blau,azul
bestens,melhor
wartest,esperando
gehts,ir
morgan,Morgan
unrecht,errado
leck,vazar
wonach,o que
entwickelt,desenvolvido
bedeutung,significado
strom,eletricidade
krebs,Câncer
gemein,significar
wessen,saber
minister,ministro
lhnen,remuneração
quelle,fonte
zahl,número
schiffe,Navios
schüsse,tiros
bricht,rompe
talent,talento
spitze,principal
fernseher,televisão
treiben,dirigir
ausgezeichnet,excelente
tatort,cena do crime
möglichkeiten,possibilidades
trinkt,bebida
esse,comer
cop,policial
details,detalhes
täter,autor
wahren,fé
dieb,ladrão
offiziell,oficialmente
dienen,servir
westen,Oeste
entscheidungen,decisões
dauernd,constante
geschmack,gosto
gegenseitig,mútuo
gewählt,escolhido
charlotte,Charlotte
pech,má sorte
verteidigen,defender
schauspieler,ator
personen,pessoas
überlassen,deixar
publikum,público
trägst,vestindo
wechseln,intercâmbio 
begegnet,conheceu
betrogen,enganado
besucht,visitado
vertrau,confiança
europa,Europa
carrie,Carrie
patrick,Patrick
deutschland,Alemanha
süßer,torta gracinha
loswerden,Livrar-se de
melde,relatório
maggie,Maggie
bestätigt,confirmado
gas,gás
sturm,tempestade
setze,contexto
briefe,cartas
,zero
penny,centavo
schlafe,dormir
wirken,funciona
geführt,guiado
starten,começar
götter,Deuses
festhalten,Agarrar
geheim,segredo
übergeben,entregar
cia,CIA
abteilung,departamento
papier,papel
wetten,apostas
gefolgt,seguido
verschiedene,diferente
gleichzeitig,simultaneamente
genie,gênio
hungrig,com fome
inspektor,Inspetor
zwingen,força
atmet,respiração
kuh,vaca
unterstützen,apoiar
geworfen,jogado
verlor,perdido
süden,sul
pater,mais rápido
menschheit,humanidade
versteck,esconderijo
tötete,morto
fähigkeiten,recursos
beruhigt,acalmou -se
rechtzeitig,pontual
streng,forte
sendung,transmissão
gelebt,vivido
treppe,escadaria
kim,Kim
richtiger,mais corretamente
aufnehmen,para gravar
wolf,lobo
pa,PA
öffnet,abre
dämon,demônio
wut,fúria
schlange,linha
medikamente,medicamento
geschenkt,dotado
nenn,chamar
gelegt,colocada
anfassen,tocar
pizza,pizza
schlechtes,ruim
hütte,cabana
mantel,um casaco
behauptet,alegou
kilometer,quilômetro
beeilung,agitação e agitação
angeblich,alegadamente
reiten,andar de
helen,Helen
mittag,meio -dia
gewarnt,avisou
wohne,ao vivo
las,ler
dunkelheit,Escuridão
spazieren,passeio
angel,cana de pesca
hiermit,isto
schließt,fecha
phoebe,Febe
vieles,bastante
erfüllt,Cumpre
tausend,mil
sack,bolsa
eindeutig,claramente
unterhaltung,entretenimento
gründen,encontrado
km,km
zugeben,Admitem
mittel,meio
explosion,explosão
gefangenen,prisioneiro
taylor,Taylor
frische,frescor
verdächtigen,suspeito
neugierig,curioso
leitung,gerenciamento
kennenlernen,conhecer
fliege,Voar
lebte,vivido
menschliche,humano
anderem,outro
auseinander,separado
fressen,Lobo abatido
beides,ambos
ficken,Porra
stoff,material
spüre,sentir
eilig,com pressa
stammt,vem
vorgestellt,apresentado
linda,Linda
welch,o que
wichtiges,importante
no,NÃO
gehörte,ouviu
mhm,mhm
glaubte,acreditava
oberst,coronel
schrank,guarda-roupa
fremde,estranho
gnade,graça
chloe,chloe
yo,yo
entspannen,relaxar
virus,vírus
schläfst,dormindo
einladung,convite
krieger,guerreiro
vernünftig,razoável
fein,multar
greifen,entender
whoa,Whoaa
schickte,enviado
per,por
mitglied,membro
einziger,apenas
umzubringen,matar
zurückkehren,para retornar
feld,campo
mexiko,México
erschaffen,criar
information,Informação
hergekommen,veio aqui
beweg,movimento
stärke,força
vermögen,ativos
verbracht,gasto
gewisse,certo
waschen,lavar
howard,Howard
staat,País
geister,fantasma
behaupten,afirmar
schrei,Gritar
würdet,seria
vögel,pássaros
warnen,avisar
albert,Albert
chancen,oportunidades
treibt,unidades
nannte,chamado
vermute,suspeito
mitternacht,meia-noite
jones,Jones
freundinnen,namorada
lecker,delicioso
klinik,clínica
dicht,densamente
befinden,doença
ließen,deixar
bürger,cidadãos
verursacht,causado
hammer,martelo
klang,som
internet,Internet
aufregend,excitante
grenzen,limites
politik,política
superman,Super homen
zurecht,com razão
besitz,posse
cops,policiais
eingesperrt,trancado
irren,estar errado
kommando,comando
schlug,chocado
krankenwagen,ambulância
love,amor
öffne,abrir
karen,Karen
richten,juiz
mademoiselle,Mademoiselle
erfunden,inventado
schnee,neve
fühl,sentir
behalte,manter
beschützt,protegido
punkte,Pontos
entfernen,removido
abgehauen,escapar
geträumt,sonhadores
stefan,Stefan
dämonen,demônios
tränen,lágrimas
erfolgreich,bem-sucedido
volle,completo
wilson,Wilson
caroline,Caroline
höher,mais alto
happy,feliz
brille,copos
musstest,deve
heimat,cidade natal
terry,Terry
liebsten,Amado
bye,tchau
leiter,diretor
sean,Sean
kauf,comprar
spinnst,colidir
werk,plantar
cent,cent
schlacht,batalha
beziehungen,Relacionamentos
abgemacht,feito
schreie,gritar
hmm,hum
bestätigen,confirme
erschreckt,com medo
offizier,Policial
that,que
sara,Sara
affäre,assunto
empfangen,receber
zweck,propósito
kämpfe,batalhas
ergeben,resultado
china,China
fange,ardiloso
häuser,Casas
verliere,perder
gedanke,pensamento
tausende,milhares
heutzutage,hoje em dia
gefühlt,sentido
schnitt,corte
carlos,Carlos
harold,Harold
lebend,ao vivo
real,real
holz,madeira
kaiser,Imperador
spielte,jogado
begonnen,começou
ziehst,puxar
gelandet,pousado
scheidung,divórcio
bart,barba
beschlossen,decidido
klo,loo
riechen,cheiro
vergisst,esquece
begeistert,entusiasmado
ei,ovo
durchs,através
geil,legal
nieder,baixo
erkläre,explicar
schreckliche,Terrível
beeindruckt,impressionado
vince,Vince
aufgegeben,desistir
aufgrund,por causa de
momentan,no momento
solch,tal
meistens,majoritariamente
stress,estresse
sterne,Estrelas
heilen,curar
soviel,muito
kannten,sabia
stattdessen,em vez disso
aye,Sim
dinger,coisas
stimmung,humor
bulle,touro
aufgefallen,observado
kämpft,brigas
geräusch,barulho
künstler,Artista
wachsen,crescer
verurteilt,sentenciado
himmels,paraíso
tyler,Tyler
urteil,veredito
schweine,porcos
nettes,legal
house,casa
verlust,perda
verließ,esquerda
wirf,lançar
wenige,alguns
willie,Willie
schulter,ombro
kalifornien,Califórnia
lernt,aprende
beigebracht,ensinado
normale,normal
anbieten,oferecer
verwenden,usar
gratuliere,felicitar
fluch,xingamento
rick,Rick
übers,sobre
grün,verde
unterricht,instrução
dachtest,pensamento
verarschen,Porra
gewöhnt,usado
anklage,acusação
tollen,rasgar
lippen,lábios
fett,gordo
lege,deitar
feigling,covarde
achten,respeito
gary,Gary
erfährt,com experiência
gewohnt,usado
jessica,Jessica
äußerst,extremamente
einladen,convidar
käse,queijo
aufwachen,despertar
verfügung,disposição
uniform,uniforme
zusehen,assistir
board.tvuser.de,Board.tvuser.de
gesundheit,saúde
abenteuer,aventura
hosen,calça
kurze,curto
scheck,verificar
täglich,diário
fresse,face
übernehme,assumir
wiederholen,repita
bestellen,ordem
freiwillig,voluntariamente
cole,Cole
universum,universo
zeuge,testemunha
west,Oeste
marshall,Marshall
fähig,capaz
revier,território
reifen,pneus
mum,Mamãe
führe,liderar
durchgemacht,através
tests,Teste
führte,liderado
schenken,dê um presente
schädel,crânio
realität,realidade
april,abril
albern,bobagem
brav,bem-comportado
schwerer,mais difícil
jagd,caçar
versagt,fracassado
truck,caminhão
steckst,preso
geschenke,presentes
sicherlich,certamente
öffentlichkeit,Publicidade
merkt,entender
verbrecher,Criminoso
maske,mascarar
verstärkung,reforço
liefern,entrega
jo,Jo
starke,força
grunde,razões
gordon,Gordon
würd,seria
verschwand,desaparecido
schulde,dever
russen,Russos
führer,líder
gemerkt,observado
ciao,tchau
loslassen,solte
berichten,reportar
verabschieden,diga adeus
antrag,aplicativo
schieß,tiroteio
abby,Abby
benehmen,comportamento
verdacht,suspeita
hübsches,bonito
schreibtisch,mesa
e,E
vampir,vampiro
rory,Rory
probe,amostra
schaff,desnatar
verzeih,perdoar
patient,paciente
geküsst,beijado
ertönt,alto
nahmen,pegou
zahlt,paga
vorbereiten,preparar
verbrannt,queimado
verdammtes,droga
frankie,Frankie
informiert,informado
einziges,apenas
zucker,açúcar
stinkt,cheira mal
schnappt,Snaps
schreib,escrever
standen,permaneceu
klamotten,tópicos
heil,ileso
besitzer,proprietário
marcus,Marcus
tess,tess
drum,tambor
tasse,Xícara
hinweis,um aviso
verteidigung,defesa
lügst,caroço
lies,mentiras
magen,estômago
enterprise,empreendimento
michelle,Michelle
beeilt,apressado
tunnel,túnel
einst,uma vez
behandlung,tratamento
serie,Series
applaus,aplausos
markt,mercado
korrekt,corretamente
besessen,obcecado
bewahren,manter
nr.,Não.
pack,pacote
gekämpft,disputado
black,preto
angreifen,ataque
tiefer,Deeper
huh,huh
truppen,tropas
kommandant,comandante
osten,leste
elf,onze
beeindruckend,impressionante
besitzt,tem
ho,Ho
heut,hoje
clever,esperto
verrückten,louco
freien,livre
hass,odiar
antworte,resposta
posten,Publicar
schneiden,corte
sammeln,coletar
gesteckt,preso
wissenschaft,Ciência
ursache,causa
gewiss,certamente
bereich,área
catherine,Catherine
meinetwegen,por minha causa
l.a.,L.A.
senator,senador
ausziehen,despir-se
verzweifelt,desesperado
jess,Jess
anteil,parte
stets,sempre
ritter,cavaleiro
viertel,trimestre
roman,romance
pünktlich,pontual
erfüllen,completar
kauft,comprar
molly,Molly
basis,Base
eva,Eva
schock,choque
empfang,recepção
wiederhole,repita
wünscht,desejar
besondere,especial
titel,título
stil,estilo
fingerabdrücke,impressões digitais
einfluss,influência
anweisungen,instruções
zahle,pagar
shield,escudo
opfern,sacrifício
blaue,Azulada
sparen,salvar
weiteres,adicional
gehörst,pertencente
farm,fazenda
erstaunlich,surpreendente
schwachsinn,Absurdo
miete,aluguel
verwandelt,transformado
daneben,Além do mais
klaus,Klaus
bereiten,preparar
wüste,deserto
prüfen,teste
gabe,presente
hundert,centenas
erscheinen,aparecer
laß,deixar
besiegen,derrota
verpiss,xixi
umständen,circunstâncias
angelegenheit,matéria
landes,país
dienstag,Terça-feira
folgendes,a seguir
fürchten,temer
mordes,assassinato
nennst,chamar
angestellt,empregado
training,treinamento
aufgetaucht,surgiu
rausfinden,descobrir
ächzt,gemido
rauskommen,sair
planet,planeta
suppe,sopa
erwischen,pegar
sitz,Assento
johnson,Johnson
vorteil,vantagem
for,para
rosa,rosa
tour,viagem
amerikanische,americano
schönste,mais bonito
rufst,chamar
berührt,tocado
französisch,Francês
gouverneur,governador
angeles,Angeles
kaufe,comprar
stern,estrela
gedächtnis,memória
wirklichkeit,realidade
bestraft,multado
kreis,círculo
reine,puro
edward,Edward
schlimmes,ruim
bestehen,consiste
jeannie,Jeannie
erscheint,apareceu
staatsanwalt,promotor
ewigkeit,eternidade
störung,perturbação
hässlich,feio
lauft,corre
angezogen,atraído
señor,Señor
half,metade
sollt,deve
martha,Martha
tiger,tigre
zigarette,Cigarro
mutig,corajoso
ausruhen,relaxar
andrew,Andrew
linken,esquerda
hauptmann,capitão
umstände,circunstâncias
not,precisar
unglück,má sorte
eng,de perto
white,branco
lucas,Lucas
üben,prática
wissenschaftler,cientista
gelöst,resolvido
reaktion,reação
morde,assassinatos
dusche,banho
mitarbeiter,funcionários
your,seu
bedroht,ameaçado
gehöre,pertencer
befreit,libertado
stöhnen,gemer
reagiert,reagiu
identität,identidade
rund,em volta
texas,Texas
fieber,febre
hirn,cérebro
leiten,liderar
donnerstag,Quinta-feira
leonard,Leonard
unheimlich,apavorante
mulder,Mulder
jahrhundert,século
irgend,em qualquer
diener,servo
bruce,Bruce
extrem,extremo
ausweis,EU IA
sicht,visualizar
sport,Esportes
juden,judeu
studiert,educado
angelogen,mentiu
schaue,olhar
little,pequeno
sally,Sally
text,texto
earl,conde
nebenan,próxima porta
todd,morte
lektion,lição
mäuse,ratos
staub,pó
sophie,Sophie
kugeln,bola
dutzend,dúzia
ratte,rato
mitleid,simpatia
testen,teste
auftritt,aparência
gegner,adversário
joseph,Joseph
verdienst,ganhos
langsamer,Mais devagar
wunde,ferimento
linie,linha
bedrohung,ameaça
bauer,Agricultor
kurzem,curto
fische,peixe
einkaufen,compras
kreuz,cruzar
afrika,África
begangen,empenhado
el,lata
nachsehen,verificar
junior,júnior
bäume,árvores
leidenschaft,paixão
geliebte,Amante
bereuen,arrependimento
spieler,jogador
berge,montanhas
verwendet,usado
steuern,dirigir
gekümmert,descuidadamente
voran,À frente
wieviel,quanto
barney,Barney
graf,Graf
verabredung,encontro
verlasse,deixar
überfallen,ataque
donna,Donna
umdrehen,inversão de marcha
damon,demônio
kilo,quilo
diego,Diego
negativ,negativo
schild,sinal
tanzt,Danças
verbrennen,queimar
gefreut,encantado
penner,Idiota
blauen,azul
jay,Jay
stücke,peças
angela,Angela
kühlschrank,frigorífico
identifizieren,identificar
lehrerin,professor
francisco,Francisco
kameras,câmeras
zentrale,quartel general
jäger,Caçador
josh,Josh
wayne,caminho
wenden,inversão de marcha
we,NÓS
holst,oscilante
suchte,pesquisado
start,começar
füßen,pés
unglücklich,infeliz
frohe,feliz
sand,areia
pfarrer,pastor
plus,mais
nancy,Nancy
brachten,trouxe
zauber,Magia
berühren,tocar
rückkehr,retornar
hafen,Porto
indianer,indiano
miller,moleiro
verschwenden,desperdício
untersucht,examinado
königs,Rei
jean,Jean
lese,leitura
stahl,aço
hättet,teria
affen,macaco
worten,palavras
kindheit,infância
gewollt,desejado
op,cirurgia
vermeiden,evitar
fabrik,fábrica
aussagen,testemunhe
wunderbare,maravilhoso
grandpa,Vovô
miststück,cadela
verrückter,louco
lane,faixa
jungfrau,Virgem
einfache,simples
nate,Nate
laufe,correr
reingelegt,prometido
seltsame,estranho
heiratet,casado
angenehm,prazeroso
daheim,lar
planen,planejar
klauen,roubar
geruch,odor
marty,Marty
klingen,som
tina,Tina
nächster,mais próximo
hörten,ouviu
jackie,Jackie
trafen,conheceu
ungern,precipitadamente
abgelehnt,rejeitado
erstens,primeiro
abmachung,acordo
appetit,apetite
miami,Miami
zeigte,mostrou
fan,fã
hohen,alto
alf,Alf
ladys,senhora
sms,SMS
verkauf,oferta
jamie,Jamie
verbergen,esconder
sorgt,cuidadoso
karl,Karl
sohnes,filho
berühmt,famoso
aussteigen,saída
bonnie,Bonnie
ginge,seria
reingehen,entre
durfte,poderia
korrektur,correção
wirft,joga
titten,Teas
betreten,digitar
todes,morte
one,um
doctor,Doutor
blöden,estúpido
miles,milhas
rausholen,sair
hohe,altura
aufnahme,gravação
by,por
holmes,Holmes
hübscher,mais bonito
vegas,Vegas
manager,Gerente
stellung,posição
höhle,caverna
schokolade,chocolate
angeboten,oferecido
befreundet,amigos
weib,mulher
ausgerechnet,de todas as coisas
walker,andador
